"","participant_id","visualization_size","mean_correct","mean_time_taken"
"1","59679c319febf80001d53655"," s1",1,1304.0303030303
"2","59679c319febf80001d53655"," s2",1,1446.51515151515
"3","59679c319febf80001d53655"," s3",1,1388
"4","5a999816b5e2110001c6bf7b"," s1",0.939393939393939,3528.27272727273
"5","5a999816b5e2110001c6bf7b"," s2",1,1435.9696969697
"6","5a999816b5e2110001c6bf7b"," s3",0.96969696969697,2956.66666666667
"7","5c431559dc3ef30001b09341"," s1",0.96969696969697,1891.59696969921
"8","5c431559dc3ef30001b09341"," s2",0.939393939393939,1634.93333333403
"9","5c431559dc3ef30001b09341"," s3",0.909090909090909,1801.59393939418
"10","5c437b9735b63800019b31a8"," s1",1,1327.93939393939
"11","5c437b9735b63800019b31a8"," s2",1,1209.06060606061
"12","5c437b9735b63800019b31a8"," s3",0.96969696969697,1716.54545454545
"13","5c577dcdd05b820001395ce9"," s1",0.909090909090909,1502.65757575812
"14","5c577dcdd05b820001395ce9"," s2",1,1225.00909090936
"15","5c577dcdd05b820001395ce9"," s3",0.878787878787879,2932.2484848487
"16","5c59866b2e4cc90001d08a07"," s1",0.96969696969697,1307.11818181782
"17","5c59866b2e4cc90001d08a07"," s2",0.96969696969697,1441.37575757576
"18","5c59866b2e4cc90001d08a07"," s3",0.96969696969697,1738.06666666758
"19","5c6d1972349b1f000104f83e"," s1",0.939393939393939,3970.39393939394
"20","5c6d1972349b1f000104f83e"," s2",0.939393939393939,3006.21212121212
"21","5c6d1972349b1f000104f83e"," s3",0.939393939393939,3401.39393939394
"22","5cbb3b75fb8dfe00018398bd"," s1",1,1727.11212121139
"23","5cbb3b75fb8dfe00018398bd"," s2",1,2154.48181818303
"24","5cbb3b75fb8dfe00018398bd"," s3",0.939393939393939,2298.93333333242
"25","5ced2f4dcf502b0001bfa74d"," s1",1,2054.81818181818
"26","5ced2f4dcf502b0001bfa74d"," s2",1,2556.06060606061
"27","5ced2f4dcf502b0001bfa74d"," s3",1,3150.24242424242
"28","5d9b4436454c520017bde494"," s1",0.96969696969697,2291.58181818182
"29","5d9b4436454c520017bde494"," s2",0.96969696969697,1108.57272727273
"30","5d9b4436454c520017bde494"," s3",0.909090909090909,1243.50606060606
"31","5e0e396901423f58bf9f6684"," s1",1,3049.49393939394
"32","5e0e396901423f58bf9f6684"," s2",0.96969696969697,2284.06666666667
"33","5e0e396901423f58bf9f6684"," s3",0.878787878787879,2307.39090909091
"34","5e19fa6c08b5ba2811361c16"," s1",0.939393939393939,1439.0303030303
"35","5e19fa6c08b5ba2811361c16"," s2",0.96969696969697,1976.27272727273
"36","5e19fa6c08b5ba2811361c16"," s3",0.96969696969697,2569.48484848485
"37","5e1e198c99109f000b6196a5"," s1",0.939393939393939,4579.55454545542
"38","5e1e198c99109f000b6196a5"," s2",0.96969696969697,1845.11212121209
"39","5e1e198c99109f000b6196a5"," s3",1,2139.95151515182
"40","5e820a415b6ebc01e6cd81a8"," s1",0.96969696969697,2002.69696969697
"41","5e820a415b6ebc01e6cd81a8"," s2",1,2109.39393939394
"42","5e820a415b6ebc01e6cd81a8"," s3",0.96969696969697,2607.07878787879
"43","5e8246ca68080c971aca80b1"," s1",1,1058.79090909109
"44","5e8246ca68080c971aca80b1"," s2",0.939393939393939,1048.98787878788
"45","5e8246ca68080c971aca80b1"," s3",0.909090909090909,1490.20606060752
"46","5e95f879f4d19b04d6187052"," s1",1,1399.69696969655
"47","5e95f879f4d19b04d6187052"," s2",1,1179.64242424245
"48","5e95f879f4d19b04d6187052"," s3",0.787878787878788,1607.4363636363
"49","5e99d9b9637f43050486ffa4"," s1",1,1758.45454545455
"50","5e99d9b9637f43050486ffa4"," s2",1,1847.84848484848
"51","5e99d9b9637f43050486ffa4"," s3",0.96969696969697,1913.54545454545
"52","5e9ef5d02f8d2d04be8a78ae"," s1",0.96969696969697,1447.33030303024
"53","5e9ef5d02f8d2d04be8a78ae"," s2",1,1262.28787878773
"54","5e9ef5d02f8d2d04be8a78ae"," s3",0.96969696969697,1675.87878787803
"55","5eb039b4b492f20a2641e4fb"," s1",0.878787878787879,1863.63636363636
"56","5eb039b4b492f20a2641e4fb"," s2",0.96969696969697,1457.39393939394
"57","5eb039b4b492f20a2641e4fb"," s3",0.939393939393939,2196.69696969697
"58","5ec7ad7b3e940a21883b8007"," s1",1,1364.36060606076
"59","5ec7ad7b3e940a21883b8007"," s2",1,1345.53030302976
