"","participant_id","visualization_size","mean_correct","mean_time_taken"
"1","5a533f6de0cf3d000125fbec"," s1",0.96969696969697,1817.12121212045
"2","5a533f6de0cf3d000125fbec"," s2",0.939393939393939,1668.80303030042
"3","5a533f6de0cf3d000125fbec"," s3",0.939393939393939,1578.48181818236
"4","5ae72bb5e01f5e0001081e48"," s1",1,1597.92121212085
"5","5ae72bb5e01f5e0001081e48"," s2",0.909090909090909,1196.68181818185
"6","5ae72bb5e01f5e0001081e48"," s3",0.818181818181818,1202.41818181809
"7","5b62d01e165cc20001781f9f"," s1",0.939393939393939,2043.60606060606
"8","5b62d01e165cc20001781f9f"," s2",0.848484848484849,1889.18181818182
"9","5b62d01e165cc20001781f9f"," s3",0.96969696969697,1026.39393939394
"10","5bd170999afb5b00015ba3b1"," s1",0.96969696969697,3824.05757575758
"11","5bd170999afb5b00015ba3b1"," s2",0.909090909090909,2330.04545454595
"12","5bd170999afb5b00015ba3b1"," s3",0.939393939393939,2155.81818181818
"13","5be3252a2dedc30001869bf8"," s1",0.939393939393939,2016.16363636345
"14","5be3252a2dedc30001869bf8"," s2",1,21335.9060606062
"15","5be3252a2dedc30001869bf8"," s3",0.96969696969697,1737.50606060636
"16","5d9338fc2f873000165f8e95"," s1",0.909090909090909,1627.36363636364
"17","5d9338fc2f873000165f8e95"," s2",1,1165.24242424242
"18","5d9338fc2f873000165f8e95"," s3",0.909090909090909,3214.78787878788
"19","5ddd231d5c5638c7c2d5556a"," s1",0.939393939393939,3081.54545454545
"20","5ddd231d5c5638c7c2d5556a"," s2",0.96969696969697,1518.48484848485
"21","5ddd231d5c5638c7c2d5556a"," s3",0.96969696969697,1084.24242424242
"22","5e19711e0432d32175901193"," s1",0.96969696969697,1590.27878787915
"23","5e19711e0432d32175901193"," s2",0.909090909090909,1437.47272727255
"24","5e19711e0432d32175901193"," s3",1,1260.94848484858
"25","5e3b1b26912e8732bfaa9863"," s1",0.96969696969697,1487.93030303033
"26","5e3b1b26912e8732bfaa9863"," s2",0.96969696969697,1550.81515151515
"27","5e3b1b26912e8732bfaa9863"," s3",1,1078.12424242418
"28","5ea05d6aad03390192441da5"," s1",1,1512.45151515167
"29","5ea05d6aad03390192441da5"," s2",0.96969696969697,1275.02121212179
"30","5ea05d6aad03390192441da5"," s3",0.909090909090909,1633.85454545436
"31","5ebc691f6719a80b580d57fc"," s1",0.96969696969697,1952.23939393988
"32","5ebc691f6719a80b580d57fc"," s2",0.848484848484849,1946.71515151567
"33","5ebc691f6719a80b580d57fc"," s3",0.909090909090909,1910.27878787879
"34","5ed5189b4a1f3806a88a94f5"," s1",0.939393939393939,1246.93636363327
"35","5ed5189b4a1f3806a88a94f5"," s2",0.878787878787879,1355.12121212248
"36","5ed5189b4a1f3806a88a94f5"," s3",0.96969696969697,1438.38787878942
