"","participant_id","system_generated_id","experiment_sequence","experiment_order","is_main_trial","task","visualization_size","trial_order","image_file_order","answering_time","answer","image_file_name","timestamp","page_name","answer_numeric"
"37","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",22,42,667.400000035," correct"," T2S1D2-19-s1_42_t1rt2rt3l"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"38","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",23,302,956.399999966," correct"," T2S1D2-attn-s1_302_t2l"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"39","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",24,73,1672.8," correct"," T2S1D2-20-s1_73_t1rt2lt3r"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"40","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",25,45,1028.60000002," correct"," T2S1D2-21-s1_45_t1lt2rt3l"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"41","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",26,41,1050.79999997," correct"," T2S1D2-22-s1_41_t1rt2rt3l"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"42","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",27,46,712.700000033," correct"," T2S1D2-23-s1_46_t1lt2rt3l"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"43","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",28,61,1065.10000001," correct"," T2S1D2-24-s1_61_t1rt2lt3l"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"44","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",29,57,714.500000002," correct"," T2S1D2-25-s1_57_t1lt2rt3r"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"45","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",30,63,1206.59999998," correct"," T2S1D2-26-s1_63_t1rt2lt3l"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"46","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",31,303,662.899999996," correct"," T2S1D2-attn-s1_303_t2r"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
