timestamp,participant_id,condition,study_id,session_id
2020-11-18T22:35:30+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-18T22:55:59+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-18T23:05:24+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-18T23:05:52+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-20T22:58:47+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-21T11:46:05+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-21T11:56:40+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-21T11:56:48+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-21T11:59:15+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-21T11:59:57+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-21T12:01:23+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-21T12:01:37+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-21T12:16:23+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-21T12:16:34+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-21T12:17:06+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-21T12:17:20+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-21T13:02:38+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-21T13:02:45+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-21T13:02:58+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-21T13:03:03+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-21T15:05:12+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-21T15:07:28+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-21T15:07:54+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-21T15:08:11+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-21T15:08:16+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-21T15:09:38+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-21T16:27:20+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-21T16:27:25+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-21T16:30:12+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-21T16:30:17+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-21T16:30:49+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-21T16:32:03+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-21T16:33:40+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-21T16:33:47+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T12:42:24+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T12:45:58+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T12:46:09+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T12:46:15+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-22T12:46:20+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T12:46:27+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T12:47:11+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-22T12:47:42+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T12:47:52+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T12:47:58+0100,DEBUG,f1_level1_f2_level1,1,1
